Breeds Names,Breed, Adaptability,Physical Needs,All Around Friendliness,Health Grooming,Trainability,Size
Affenpinscher,0,3,4,3,2,3,1
Afghan Hound,1,4,4,4,2,3,4
Airedale Terrier,2,2,5,4,2,5,3
Akita,3,3,4,2,4,4,4
Alaskan Klee Kai,4,3,4,3,3,4,2
Alaskan Malamute,5,2,5,4,3,4,4
American Bulldog,6,2,4,3,3,3,4
American English Coonhound,7,3,5,5,3,5,3
American Eskimo Dog,8,4,4,5,4,4,2
American Foxhound,9,2,5,5,4,4,3
American Pit Bull Terrier,10,3,5,4,3,4,3
American Staffordshire Terrier,11,2,4,4,3,4,3
American Water Spaniel,12,3,4,4,3,4,3
Anatolian Shepherd Dog,13,3,3,2,3,3,5
Appenzeller Sennenhunde,14,3,4,4,3,4,3
Australian Cattle Dog,15,3,5,4,3,4,3
Australian Kelpie,16,3,4,3,3,5,3
Australian Shepherd,17,3,5,4,2,5,3
Australian Terrier,18,3,5,3,3,4,1
Azawakh,19,3,3,3,3,3,3
Barbet,20,3,4,4,2,3,3
Basenji,21,4,3,5,3,4,2
Basset Hound,22,3,2,5,4,4,2
Beagle,23,3,5,5,3,4,2
Bearded Collie,24,3,4,5,3,4,3
Bedlington Terrier,25,4,4,5,3,4,3
Belgian Malinois,26,3,5,4,3,4,4
Belgian Sheepdog,27,4,5,5,3,4,4
Belgian Tervuren,28,3,4,3,3,4,4
Berger Picard,29,4,5,4,4,3,4
Bernedoodle,30,3,4,4,3,4,3
Bernese Mountain Dog,31,2,4,5,3,4,5
Bichon Frise,32,4,4,5,2,3,2
Mountain Cur,33,3,4,4,3,4,4
Black Russian Terrier,34,3,5,4,3,4,5
Black and Tan Coonhound,35,3,5,5,4,4,3
Bloodhound,36,3,4,5,3,4,4
Blue Lacy,37,3,5,3,3,5,3
Bluetick Coonhound,38,3,5,4,3,4,3
Boerboel,39,2,4,3,4,3,5
Bolognese,40,3,3,5,2,4,1
Border Collie,41,3,5,4,2,4,3
Border Terrier,42,3,5,4,3,4,2
Borzoi,43,4,2,4,3,4,5
Boston Terrier,44,4,5,5,3,3,2
Bouvier des Flandres,45,3,4,4,2,3,4
Boxer,46,3,5,4,3,3,3
Boykin Spaniel,47,3,5,4,2,4,3
Bracco Italiano,48,3,4,4,3,3,4
Briard,49,3,4,4,2,4,4
Brittany,50,3,5,5,4,4,3
Brussels Griffon,51,3,4,3,3,3,1
Bull Terrier,52,3,5,5,4,4,2
Bulldog,53,3,3,4,4,2,2
Bullmastiff,54,3,4,4,4,3,5
Cairn Terrier,55,4,5,5,3,4,1
Canaan Dog,56,4,4,3,3,3,3
Cane Corso,57,2,4,3,4,4,4
Cardigan Welsh Corgi,58,4,3,4,3,3,2
Catahoula Leopard Dog,59,2,4,3,3,3,4
Caucasian Shepherd Dog,60,3,3,3,3,3,5
Cavalier King Charles Spaniel,61,4,4,5,3,3,2
Cesky Terrier,62,4,3,3,3,3,2
Chesapeake Bay Retriever,63,3,5,3,4,3,3
Chihuahua,64,3,3,4,3,3,1
Chinese Crested,65,3,2,4,2,3,2
Chinese Shar-Pei,66,3,2,2,3,3,3
Chinook,67,3,3,5,3,3,4
Chow Chow,68,3,2,1,2,2,4
Clumber Spaniel,69,4,3,4,4,4,3
Cockapoo,70,4,4,5,2,3,2
Cocker Spaniel,71,4,3,4,3,4,2
Collie,72,4,3,5,3,3,3
Coton de Tulear,73,4,3,5,2,3,1
Curly-Coated Retriever,74,3,4,4,3,4,3
Dachshund,75,3,3,3,3,4,1
Dalmatian,76,3,5,4,4,3,3
Dandie Dinmont Terrier,77,3,3,4,3,3,1
Doberman Pinscher,78,3,4,3,3,3,4
Dogo Argentino,79,2,4,3,3,3,4
Dogue de Bordeaux,80,3,3,3,4,3,4
Dutch Shepherd,81,3,4,4,3,3,3
English Cocker Spaniel,82,4,4,5,3,4,2
English Foxhound,83,3,5,4,3,4,3
English Setter,84,3,4,5,3,4,3
English Springer Spaniel,85,3,5,5,2,4,3
English Toy Spaniel,86,3,3,4,3,3,2
Entlebucher Mountain Dog,87,3,5,4,3,4,3
Field Spaniel,88,3,5,5,3,4,2
Finnish Lapphund,89,4,5,5,3,4,3
Finnish Spitz,90,3,5,5,3,4,3
Flat-Coated Retriever,91,3,5,5,3,4,3
Fox Terrier,92,3,5,4,2,4,2
French Bulldog,93,3,4,4,3,3,2
German Pinscher,94,3,5,3,3,4,3
German Shepherd Dog,95,3,5,4,3,4,4
German Shorthaired Pointer,96,2,5,4,3,5,3
German Wirehaired Pointer,97,3,5,3,3,4,4
Giant Schnauzer,98,2,4,3,3,4,4
Glen of Imaal Terrier,99,3,4,4,3,4,1
Goldador,100,4,5,5,3,3,4
Golden Retriever,101,3,4,5,4,4,3
Goldendoodle,102,3,4,5,3,3,4
Gordon Setter,103,3,4,3,3,4,3
Great Dane,104,2,5,5,4,3,5
Great Pyrenees,105,3,5,4,3,4,5
Greater Swiss Mountain Dog,106,3,4,5,3,3,5
Greyhound,107,3,4,5,5,4,4
Harrier,108,3,5,5,3,4,3
Havanese,109,4,3,5,2,3,2
Ibizan Hound,110,3,5,5,3,4,3
Icelandic Sheepdog,111,3,4,3,3,3,3
Irish Red and White Setter,112,3,5,4,2,4,3
Irish Setter,113,3,5,5,3,5,4
Irish Terrier,114,3,5,4,3,3,3
Irish Water Spaniel,115,3,4,5,2,4,3
Irish Wolfhound,116,2,3,5,2,3,5
Italian Greyhound,117,3,4,5,3,4,2
Jack Russell Terrier,118,3,5,5,3,4,2
Japanese Chin,119,3,2,3,3,3,1
Japanese Spitz,120,3,3,4,3,3,2
Karelian Bear Dog,121,3,4,3,3,4,3
Keeshond,122,4,4,5,3,3,3
Kerry Blue Terrier,123,3,4,4,2,4,3
Komondor,124,3,3,3,2,4,4
Kooikerhondje,125,3,5,2,3,3,3
Kuvasz,126,3,4,2,4,2,5
Labradoodle,127,4,5,5,3,3,4
Labrador Retriever,128,3,5,5,4,4,4
Lagotto Romagnolo,129,3,4,3,2,3,2
Lakeland Terrier,130,3,4,4,3,3,2
Lancashire Heeler,131,3,4,3,3,3,1
Leonberger,132,2,4,4,3,3,5
Lhasa Apso,133,4,4,3,2,3,1
Lowchen,134,3,4,5,3,4,1
Maltese,135,3,3,4,2,3,1
Maltese Shih Tzu,136,3,3,3,2,4,1
Maltipoo,137,4,3,4,2,4,2
Manchester Terrier,138,3,4,3,3,3,2
Mastiff,139,2,4,4,4,2,5
Miniature Pinscher,140,3,4,3,3,3,1
Miniature Schnauzer,141,4,4,4,2,4,2
Mudi,142,3,4,3,3,4,2
Neapolitan Mastiff,143,2,3,3,4,2,5
Newfoundland,144,3,3,5,3,4,5
Norfolk Terrier,145,4,4,5,3,3,1
Norwegian Buhund,146,3,5,4,3,3,3
Norwegian Elkhound,147,4,4,4,3,4,3
Norwegian Lundehund,148,3,5,5,3,3,3
Norwich Terrier,149,4,5,5,3,4,1
Nova Scotia Duck Tolling Retriever,150,4,5,5,3,4,3
Old English Sheepdog,151,4,4,4,3,3,4
Otterhound,152,3,5,5,3,4,4
Papillon,153,3,4,4,2,3,1
Peekapoo,154,4,3,4,2,3,1
Pekingese,155,3,2,3,2,4,1
Pembroke Welsh Corgi,156,4,4,4,3,3,2
Petit Basset Griffon Vendeen,157,3,5,5,3,4,2
Pharaoh Hound,158,4,3,5,3,4,3
Plott,159,2,4,4,3,4,3
Pocket Beagle,160,3,4,5,3,4,2
Pointer,161,2,5,5,3,5,3
Polish Lowland Sheepdog,162,4,4,4,2,3,3
Pomeranian,163,3,3,3,3,3,1
Pomsky,164,3,3,3,3,4,2
Poodle,165,4,4,5,2,4,4
Portuguese Water Dog,166,3,5,5,2,4,3
Pug,167,3,4,4,3,2,2
Puggle,168,4,3,5,4,3,2
Puli,169,3,5,4,2,4,3
Pyrenean Shepherd,170,3,5,4,2,3,2
Rat Terrier,171,3,5,4,3,3,1
Redbone Coonhound,172,3,5,4,3,4,3
Rhodesian Ridgeback,173,3,5,4,3,3,4
Rottweiler,174,2,4,4,4,4,3
Saint Bernard,175,3,3,5,3,2,5
Saluki,176,2,4,4,2,4,4
Samoyed,177,3,4,5,3,4,3
Schipperke,178,3,5,3,4,3,1
Schnoodle,179,3,4,4,3,3,4
Scottish Deerhound,180,3,5,4,3,3,5
Scottish Terrier,181,3,4,4,2,3,2
Sealyham Terrier,182,4,4,4,3,3,2
Shetland Sheepdog,183,3,4,5,3,3,1
