1,Affenpinscher,3,4,3,2,3,1
2,Afghan Hound,4,4,4,2,3,4
3,Airedale Terrier,2,5,4,2,5,3
4,Akita,3,4,2,4,4,4
5,Alaskan Klee Kai,3,4,3,3,4,2
6,Alaskan Malamute,2,5,4,3,4,4
7,American Bulldog,2,4,3,3,3,4
8,American English Coonhound,3,5,5,3,5,3
9,American Eskimo Dog,4,4,5,4,4,2
10,American Foxhound,2,5,5,4,4,3
11,American Pit Bull Terrier,3,5,4,3,4,3
12,American Staffordshire Terrier,2,4,4,3,4,3
13,American Water Spaniel,3,4,4,3,4,3
14,Anatolian Shepherd Dog,3,3,2,3,3,5
15,Appenzeller Sennenhunde,3,4,4,3,4,3
16,Australian Cattle Dog,3,5,4,3,4,3
17,Australian Kelpie,3,4,3,3,5,3
18,Australian Shepherd,3,5,4,2,5,3
19,Australian Terrier,3,5,3,3,4,1
20,Azawakh,3,3,3,3,3,3
21,Barbet,3,4,4,2,3,3
22,Basenji,4,3,5,3,4,2
23,Basset Hound,3,2,5,4,4,2
24,Beagle,3,5,5,3,4,2
25,Bearded Collie,3,4,5,3,4,3
26,Bedlington Terrier,4,4,5,3,4,3
27,Belgian Malinois,3,5,4,3,4,4
28,Belgian Sheepdog,4,5,5,3,4,4
29,Belgian Tervuren,3,4,3,3,4,4
30,Berger Picard,4,5,4,4,3,4
31,Bernedoodle,3,4,4,3,4,3
32,Bernese Mountain Dog,2,4,5,3,4,5
33,Bichon Frise,4,4,5,2,3,2
34,Mountain Cur,3,4,4,3,4,4
35,Black Russian Terrier,3,5,4,3,4,5
36,Black and Tan Coonhound,3,5,5,4,4,3
37,Bloodhound,3,4,5,3,4,4
38,Blue Lacy,3,5,3,3,5,3
39,Bluetick Coonhound,3,5,4,3,4,3
40,Boerboel,2,4,3,4,3,5
41,Bolognese,3,3,5,2,4,1
42,Border Collie,3,5,4,2,4,3
43,Border Terrier,3,5,4,3,4,2
44,Borzoi,4,2,4,3,4,5
45,Boston Terrier,4,5,5,3,3,2
46,Bouvier des Flandres,3,4,4,2,3,4
47,Boxer,3,5,4,3,3,3
48,Boykin Spaniel,3,5,4,2,4,3
49,Bracco Italiano,3,4,4,3,3,4
50,Briard,3,4,4,2,4,4
51,Brittany,3,5,5,4,4,3
52,Brussels Griffon,3,4,3,3,3,1
53,Bull Terrier,3,5,5,4,4,2
54,Bulldog,3,3,4,4,2,2
55,Bullmastiff,3,4,4,4,3,5
56,Cairn Terrier,4,5,5,3,4,1
57,Canaan Dog,4,4,3,3,3,3
58,Cane Corso,2,4,3,4,4,4
59,Cardigan Welsh Corgi,4,3,4,3,3,2
60,Catahoula Leopard Dog,2,4,3,3,3,4
61,Caucasian Shepherd Dog,3,3,3,3,3,5
62,Cavalier King Charles Spaniel,4,4,5,3,3,2
63,Cesky Terrier,4,3,3,3,3,2
64,Chesapeake Bay Retriever,3,5,3,4,3,3
65,Chihuahua,3,3,4,3,3,1
66,Chinese Crested,3,2,4,2,3,2
67,Chinese Shar-Pei,3,2,2,3,3,3
68,Chinook,3,3,5,3,3,4
69,Chow Chow,3,2,1,2,2,4
70,Clumber Spaniel,4,3,4,4,4,3
71,Cockapoo,4,4,5,2,3,2
72,Cocker Spaniel,4,3,4,3,4,2
