Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed
1,Adorable Abby Needs A Home,3,141,109,2,3,5,7,2,1,3,1,2,1,1,0,41326,e4d974934307235688eae6c0b8cc2e0e,0,Abby has found a new home now with good loving owners.,71deb8267,2,0
1,Adpoted,24,205,0,2,1,2,7,1,3,1,1,2,1,1,1000,41401,67f04f1dc1f81ff09e134fb47a053b10,0,adpoted,aebf47483,2,0
1,Amelia,4,195,179,2,7,0,0,1,1,1,1,2,1,1,400,41326,80ca526fbefbe54b612cb7d560e66b93,0,"The pet is handed to me by her owner as the owner went back to his home country. The pet is obedient, smart, and toilet-trained. She seldom barks and love children.",f54d6a569,5,0
1,Beagle,10,20,0,2,1,2,7,2,1,1,1,3,1,1,0,41401,1080858a732c0bfc16a48175c50e3b5b,0,She is active cute and also food lover She was well trained to toilet in cage and poop in certain place The only tricks I teach her is to lie down & sit Need to re-home her as soon as possible as my house dog always bite her,615213076,4,0
1,Bear,12,78,0,1,1,2,0,3,1,1,1,2,1,1,0,41401,2df3b6034fcea4db208ffdffa84918f0,0,"Bear is pure breed Dobermann. He's obedient and very healthy, well socializes and good with children. Bear is given free, condition is that adopter must neuter and must pay for neutering fee. Adopter must have at least a compound for him to exercise. No caging please. I love Bear very much due to personal reason i have no choice but to let Bear have a better future. Adopter must love Bear same as i love him. Please contact me through my email, let me konw your location and we proceed from there. No breeder please.",5dd7c4c06,1,0
1,Bibi,24,167,0,2,7,0,0,1,3,1,1,1,1,1,0,41326,e1010683ccba0efbd71b983f60afb505,0,"when i was walking back home after work at china, it was a raining day...a small little dirty + tiny puppy follow me , she keep on follow until i decide to take care her. I name her Bibi again (The white color puppy in the picture). She sleep with me. After 2 years of working contract, i have to move back to Malaysia. That time i m thinking to bring her back to malaysia. But they say have to do injection and put her into sleep for 6 hours...i m so worry. I scared Bibi will die, so i dont wanna take the risk and I have no choice to give her to my friend. This is happen only five months ago...i everyday call the new owner to see Bibi condition, they say she is good. But i cant forget her. I m so sad...Can any one tell me, how to get dogs flight from china to malaysia?? without giving her injection to sleep..ant better and safe way?",b2dbd92b1,5,0
1,Black,2,189,0,1,1,0,0,3,2,2,2,2,1,1,0,41326,4e2a21c5fa8be1c6e828bd6299090f8c,1,Look for a good owner,2bf4445c7,1,0
1,Bobby,15,72,0,1,2,7,0,1,1,1,1,2,1,1,0,41326,a4d1eecebdf0b608583d8b166d9a9d71,0,"Bobby is a pembroke welsh corgi. Very handsome and intelligent dog who knows a few tricks like sit, hand, jump etc.",d76c4ec1e,3,0
1,Boy,36,61,207,1,1,3,7,1,2,1,1,1,1,1,0,41326,a70b02201c3b688f664fec4507aabe8c,0,"Dec/ Adopted, Kuala Lumpur area",4199f1957,1,0
1,Cap,5,179,195,1,5,7,0,2,2,1,1,3,1,1,0,41326,3463c003d5accdea46cd75bcb6d52229,0,"Healthy, Active n playful Mix breed for adoption",eddc2e2ae,1,0
