Id,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,AdoptionSpeed
0,2,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,0
1,2,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,0
2,1,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,1
3,1,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,0
4,1,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,0
5,2,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,0
6,2,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,0
7,1,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,1
8,2,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,0
9,2,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,1
10,1,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,0
11,2,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,0
12,1,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,0
13,2,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,0
14,1,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,0
15,1,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,1
16,2,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,1
17,1,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,1
18,1,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,0
19,2,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,1
20,1,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,0
21,1,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,1
22,2,0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,1
23,1,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,1
24,2,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,0
25,2,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,0
26,2,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,0
27,2,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,0
28,1,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,1
29,2,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,0
30,1,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,1
31,2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,0
32,1,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,1
33,2,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,1
34,2,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,1
35,2,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,0
