BreedID,Breeds, Adaptability,Physical Needs,All Around Friendliness,Health Grooming,Trainability,Size
0,Affenpinscher,3,4,3,2,3,1
1,Afghan Hound,4,4,4,2,3,4
2,Airedale Terrier,2,5,4,2,5,3
3,Akita,3,4,2,4,4,4
4,Alaskan Klee Kai,3,4,3,3,4,2
5,Alaskan Malamute,2,5,4,3,4,4
6,American Bulldog,2,4,3,3,3,4
7,American English Coonhound,3,5,5,3,5,3
8,American Eskimo Dog,4,4,5,4,4,2
9,American Foxhound,2,5,5,4,4,3
10,American Pit Bull Terrier,3,5,4,3,4,3
11,American Staffordshire Terrier,2,4,4,3,4,3
12,American Water Spaniel,3,4,4,3,4,3
13,Anatolian Shepherd Dog,3,3,2,3,3,5
14,Appenzeller Sennenhunde,3,4,4,3,4,3
15,Australian Cattle Dog,3,5,4,3,4,3
16,Australian Kelpie,3,4,3,3,5,3
17,Australian Shepherd,3,5,4,2,5,3
18,Australian Terrier,3,5,3,3,4,1
19,Azawakh,3,3,3,3,3,3
20,Barbet,3,4,4,2,3,3
21,Basenji,4,3,5,3,4,2
22,Basset Hound,3,2,5,4,4,2
23,Beagle,3,5,5,3,4,2
24,Bearded Collie,3,4,5,3,4,3
25,Bedlington Terrier,4,4,5,3,4,3
26,Belgian Malinois,3,5,4,3,4,4
27,Belgian Sheepdog,4,5,5,3,4,4
28,Belgian Tervuren,3,4,3,3,4,4
29,Berger Picard,4,5,4,4,3,4
30,Bernedoodle,3,4,4,3,4,3
31,Bernese Mountain Dog,2,4,5,3,4,5
32,Bichon Frise,4,4,5,2,3,2
33,Black Mouth Cur,3,4,4,3,4,4
34,Black Russian Terrier,3,5,4,3,4,5
35,Black and Tan Coonhound,3,5,5,4,4,3
36,Bloodhound,3,4,5,3,4,4
37,Blue Lacy,3,5,3,3,5,3
38,Bluetick Coonhound,3,5,4,3,4,3
39,Boerboel,2,4,3,4,3,5
40,Bolognese,3,3,5,2,4,1
41,Border Collie,3,5,4,2,4,3
42,Border Terrier,3,5,4,3,4,2
43,Borzoi,4,2,4,3,4,5
44,Boston Terrier,4,5,5,3,3,2
45,Bouvier des Flandres,3,4,4,2,3,4
46,Boxer,3,5,4,3,3,3
47,Boykin Spaniel,3,5,4,2,4,3
48,Bracco Italiano,3,4,4,3,3,4
49,Briard,3,4,4,2,4,4
50,Brittany,3,5,5,4,4,3
51,Brussels Griffon,3,4,3,3,3,1
52,Bull Terrier,3,5,5,4,4,2
53,Bulldog,3,3,4,4,2,2
54,Bullmastiff,3,4,4,4,3,5
55,Cairn Terrier,4,5,5,3,4,1
56,Canaan Dog,4,4,3,3,3,3
57,Cane Corso,2,4,3,4,4,4
58,Cardigan Welsh Corgi,4,3,4,3,3,2
59,Catahoula Leopard Dog,2,4,3,3,3,4
60,Caucasian Shepherd Dog,3,3,3,3,3,5
61,Cavalier King Charles Spaniel,4,4,5,3,3,2
62,Cesky Terrier,4,3,3,3,3,2
63,Chesapeake Bay Retriever,3,5,3,4,3,3
64,Chihuahua,3,3,4,3,3,1
65,Chinese Crested,3,2,4,2,3,2
66,Chinese Shar-Pei,3,2,2,3,3,3
67,Chinook,3,3,5,3,3,4
68,Chow Chow,3,2,1,2,2,4
69,Clumber Spaniel,4,3,4,4,4,3
70,Cockapoo,4,4,5,2,3,2
71,Cocker Spaniel,4,3,4,3,4,2
72,Collie,4,3,5,3,3,3
73,Coton de Tulear,4,3,5,2,3,1
74,Curly-Coated Retriever,3,4,4,3,4,3
75,Dachshund,3,3,3,3,4,1
76,Dalmatian,3,5,4,4,3,3
77,Dandie Dinmont Terrier,3,3,4,3,3,1
78,Doberman Pinscher,3,4,3,3,3,4
79,Dogo Argentino,2,4,3,3,3,4
80,Dogue de Bordeaux,3,3,3,4,3,4
