,Breed,Friendliness,ExerciseNeeds,Trainability,ApartmentLiving,AffectionatewithFamily,EasyToGroom,EnergyLevel,Intelligence,SensitivityLevel,Size,TendencyToBarkOrHowl,ToleratesBeingAlone
0,Affenpinscher,3,4,3,5,5,3,4,4,3,1,2,1
1,Afghan Hound,4,4,3,5,5,1,5,4,5,4,2,2
2,Airedale Terrier,4,5,5,1,4,2,5,5,3,3,4,2
3,Akita,2,4,4,2,5,1,4,3,5,4,5,1
4,Alaskan Klee Kai,3,4,4,3,4,4,4,4,4,2,3,2
5,Alaskan Malamute,4,5,4,1,4,1,5,4,4,4,5,1
6,American Bulldog,3,4,3,1,5,4,4,3,4,4,2,1
7,American English Coonhound,5,5,5,1,5,5,5,4,5,3,5,2
8,American Eskimo Dog,5,4,4,5,5,3,5,4,4,2,4,2
9,American Foxhound,5,5,4,1,4,5,5,3,2,3,5,1
10,American Pit Bull Terrier,4,5,4,3,5,5,4,4,4,3,3,1
11,American Staffordshire Terrier,4,4,4,2,4,4,3,4,3,3,4,2
12,American Water Spaniel,4,4,4,2,5,3,5,3,5,3,3,1
13,Anatolian Shepherd Dog,2,3,3,1,3,4,3,4,4,5,2,3
14,Appenzeller Sennenhunde,4,4,4,1,5,5,4,4,3,3,5,1
15,Australian Cattle Dog,4,5,4,2,5,4,5,5,4,3,2,3
16,Australian Kelpie,3,4,5,2,4,4,5,5,4,3,4,2
17,Australian Shepherd,4,5,5,1,5,1,5,5,5,3,4,2
18,Australian Terrier,3,5,4,5,4,5,5,4,2,1,5,2
19,Azawakh,3,3,3,5,4,5,3,3,3,3,1,3
20,Barbet,4,4,3,3,5,1,5,4,3,3,3,1
21,Basenji,5,3,4,5,5,5,5,4,3,2,1,4
22,Basset Hound,5,2,4,5,5,5,2,4,4,2,4,3
23,Beagle,5,5,4,4,5,4,4,4,4,2,5,1
24,Bearded Collie,5,4,4,3,5,2,4,4,4,3,3,2
25,Bedlington Terrier,5,4,4,4,5,1,4,5,3,3,3,3
26,Belgian Malinois,4,5,4,1,5,5,5,5,5,4,2,3
27,Belgian Sheepdog,5,5,4,3,4,3,5,5,5,4,1,3
28,Belgian Tervuren,3,4,4,3,4,3,5,5,5,4,5,1
29,Berger Picard,4,5,3,3,5,5,5,4,5,4,2,3
30,Bernedoodle,4,4,4,3,5,3,4,5,4,3,3,2
31,Bernese Mountain Dog,5,4,4,1,5,3,4,4,4,5,4,1
32,Bichon Frise,5,4,3,5,5,1,5,4,5,2,2,1
33,Black Mouth Cur,4,4,4,1,5,5,4,4,4,4,4,2
34,Black Russian Terrier,4,5,4,3,5,2,4,4,4,5,3,1
35,Black and Tan Coonhound,5,5,4,1,5,4,5,5,3,3,5,2
36,Bloodhound,5,4,4,1,5,1,5,4,4,4,4,2
37,Blue Lacy,3,5,5,1,4,5,5,5,4,3,5,2
38,Bluetick Coonhound,4,5,4,2,5,5,5,4,5,3,4,2
39,Boerboel,3,4,3,1,4,4,3,4,3,5,3,2
40,Bolognese,5,3,4,5,5,1,3,4,5,1,4,2
41,Border Collie,4,5,4,2,5,3,5,5,5,3,2,1
42,Border Terrier,4,5,4,4,5,2,4,5,3,2,1,1
43,Borzoi,4,2,4,5,4,4,2,4,5,5,2,1
44,Boston Terrier,5,5,3,5,4,5,4,4,5,2,3,3
45,Bouvier des Flandres,4,4,3,3,5,2,4,4,4,4,4,2
46,Boxer,4,5,3,4,5,5,5,4,4,3,3,1
47,Boykin Spaniel,4,5,4,1,5,1,5,4,4,3,3,3
48,Bracco Italiano,4,4,3,1,5,5,4,4,4,4,2,3
49,Briard,4,4,4,3,4,1,4,4,4,4,4,3
50,Brittany,5,5,4,1,5,3,5,5,5,3,3,1
51,Brussels Griffon,3,4,3,5,5,3,5,4,5,1,4,1
52,Bull Terrier,5,5,4,4,5,5,4,4,5,2,1,2
53,Bulldog,4,3,2,5,5,5,2,2,4,2,4,3
54,Bullmastiff,4,4,3,3,5,5,2,3,4,5,4,2
55,Cairn Terrier,5,5,4,5,5,5,5,5,3,1,4,1
56,Canaan Dog,3,4,3,4,4,5,4,4,4,3,3,3
57,Cane Corso,3,4,4,1,4,5,4,5,3,4,3,1
58,Cardigan Welsh Corgi,4,3,3,4,5,3,3,5,4,2,2,3
59,Catahoula Leopard Dog,3,4,3,1,5,5,4,3,2,4,3,2
60,Caucasian Shepherd Dog,3,3,3,2,4,2,2,4,2,5,3,3
61,Cavalier King Charles Spaniel,5,4,3,5,5,4,3,4,5,2,3,1
62,Cesky Terrier,3,3,3,5,5,4,2,3,4,2,3,3
63,Chesapeake Bay Retriever,3,5,3,1,5,5,5,4,3,3,3,2
64,Chihuahua,4,3,3,5,5,5,3,4,5,1,3,1
65,Chinese Crested,4,2,3,5,4,2,2,3,5,2,3,1
66,Chinese Shar-Pei,2,2,3,4,2,5,2,2,2,3,5,4
67,Chinook,5,3,3,4,5,2,3,5,5,4,2,1
68,Chow Chow,1,2,2,3,2,1,2,1,2,4,1,5
69,Clumber Spaniel,4,3,4,5,5,1,3,3,4,3,1,2
70,Cockapoo,5,4,3,4,5,3,3,4,4,2,2,3
71,Cocker Spaniel,4,3,4,5,5,1,4,4,5,2,3,1
72,Collie,5,3,3,3,5,2,3,4,5,3,4,2
73,Coton de Tulear,5,3,3,5,5,2,3,4,5,1,2,1
74,Curly-Coated Retriever,4,4,4,1,5,3,5,5,3,3,3,3
75,Dachshund,3,3,4,5,4,3,3,4,4,1,5,3
76,Dalmatian,4,5,3,2,5,5,5,4,4,3,2,3
77,Dandie Dinmont Terrier,4,3,3,4,5,2,3,3,3,1,2,2
78,Doberman Pinscher,3,4,3,3,5,5,3,5,5,4,1,2
79,Dogo Argentino,3,4,3,1,4,4,4,3,3,4,2,2
80,Dogue de Bordeaux,3,3,3,5,5,5,2,3,4,4,2,2
81,Dutch Shepherd,4,4,3,3,4,3,4,4,3,3,2,2
82,English Cocker Spaniel,5,4,4,5,5,3,5,5,5,2,4,1
83,English Foxhound,4,5,4,1,4,5,5,3,3,3,4,4
84,English Setter,5,4,4,1,5,3,4,5,4,3,4,1
85,English Springer Spaniel,5,5,4,1,5,2,5,5,4,3,3,1
86,English Toy Spaniel,4,3,3,4,5,4,3,3,4,2,3,1
87,Entlebucher Mountain Dog,4,5,4,1,5,5,5,4,4,3,5,3
88,Field Spaniel,5,5,4,1,5,4,5,5,4,2,2,1
89,Finnish Lapphund,5,5,4,4,5,4,5,5,4,3,3,2
90,Finnish Spitz,5,5,4,3,5,2,5,4,3,3,5,1
91,Flat-Coated Retriever,5,5,4,1,5,4,5,5,5,3,4,1
92,Fox Terrier,4,5,4,3,4,2,5,5,3,2,3,3
93,French Bulldog,4,4,3,5,5,5,3,3,3,2,3,1
94,German Pinscher,3,5,4,3,5,5,5,5,4,3,3,3
95,German Shepherd Dog,4,5,4,3,5,5,5,5,5,4,4,2
96,German Shorthaired Pointer,4,5,5,1,5,5,5,5,4,3,3,1
97,German Wirehaired Pointer,3,5,4,2,5,4,5,5,4,4,3,2
98,Giant Schnauzer,3,4,4,1,5,2,5,4,4,4,4,2
99,Glen of Imaal Terrier,4,4,4,4,5,5,4,4,3,1,4,3
100,Goldador,5,5,3,2,5,4,5,5,3,4,1,4
101,Golden Retriever,5,4,4,2,5,2,5,5,5,3,3,1
102,Goldendoodle,5,4,3,1,5,4,4,5,4,4,3,3
103,Gordon Setter,3,4,4,2,5,2,5,5,4,3,5,1
104,Great Dane,5,5,3,1,5,5,5,3,5,5,4,1
105,Great Pyrenees,4,5,4,1,5,4,5,4,4,5,5,3
106,Greater Swiss Mountain Dog,5,4,3,1,5,5,5,3,4,5,4,3
107,Greyhound,5,4,4,4,5,5,5,5,5,4,2,1
108,Harrier,5,5,4,1,4,5,5,4,2,3,4,3
109,Havanese,5,3,3,5,5,1,3,4,4,2,2,1
110,Ibizan Hound,5,5,4,5,5,5,5,4,4,3,2,2
111,Icelandic Sheepdog,3,4,3,1,4,1,4,4,3,3,1,2
112,Irish Red and White Setter,4,5,4,1,5,3,5,4,4,3,3,1
113,Irish Setter,5,5,5,1,5,3,5,5,4,4,4,2
114,Irish Terrier,4,5,3,3,5,2,5,4,3,3,4,2
115,Irish Water Spaniel,5,4,4,3,5,3,5,4,4,3,4,3
116,Irish Wolfhound,5,3,3,1,5,3,2,4,3,5,1,2
117,Italian Greyhound,5,4,4,5,5,5,4,3,5,2,3,1
118,Jack Russell Terrier,5,5,4,3,5,3,5,5,3,2,4,3
119,Japanese Chin,3,2,3,5,3,3,2,3,3,1,3,1
120,Japanese Spitz,4,3,3,4,4,4,3,4,3,2,4,2
121,Karelian Bear Dog,3,4,4,2,4,4,4,4,4,3,4,2
122,Keeshond,5,4,3,4,5,3,4,4,5,3,4,1
123,Kerry Blue Terrier,4,4,4,3,4,2,4,4,3,3,4,3
124,Komondor,3,3,4,2,5,2,2,4,4,4,5,1
125,Kooikerhondje,2,5,3,4,3,2,4,4,4,3,3,2
126,Kuvasz,2,4,2,1,5,4,4,4,5,5,3,1
127,Labradoodle,5,5,3,3,5,4,5,4,3,4,2,4
128,Labrador Retriever,5,5,4,1,5,5,5,5,5,4,4,2
129,Lagotto Romagnolo,3,4,3,2,3,1,4,4,3,2,3,3
130,Lakeland Terrier,4,4,3,4,5,2,5,4,3,2,2,2
131,Lancashire Heeler,3,4,3,2,4,4,4,4,3,1,2,3
132,Leonberger,4,4,3,1,5,4,4,3,4,5,3,2
133,Lhasa Apso,3,4,3,5,4,1,4,4,5,1,4,4
134,Lowchen,5,4,4,5,5,3,4,4,3,1,4,1
135,Maltese,4,3,3,5,5,2,3,4,4,1,2,1
136,Maltese Shih Tzu,3,3,4,5,4,2,3,3,3,1,4,3
137,Maltipoo,4,3,4,5,5,3,3,4,5,2,5,1
138,Manchester Terrier,3,4,3,5,4,5,4,4,3,2,4,3
139,Mastiff,4,4,2,2,5,3,3,2,3,5,2,3
140,Miniature Pinscher,3,4,3,5,5,5,4,3,5,1,1,2
141,Miniature Schnauzer,4,4,4,4,5,2,5,4,4,2,3,5
142,Mudi,3,4,4,2,4,4,4,4,4,2,4,2
143,Mutt,3,3,3,3,4,3,3,4,3,3,3,3
144,Neapolitan Mastiff,3,3,2,2,5,3,3,3,4,5,1,1
145,Newfoundland,5,3,4,1,5,2,3,4,4,5,4,1
146,Norfolk Terrier,5,4,3,4,5,4,4,4,4,1,3,3
147,Norwegian Buhund,4,5,3,3,5,2,4,3,3,3,4,4
148,Norwegian Elkhound,4,4,4,4,5,3,5,4,4,3,4,2
149,Norwegian Lundehund,5,5,3,1,5,4,4,5,3,3,1,2
150,Norwich Terrier,5,5,4,5,5,2,5,4,4,1,4,2
151,Nova Scotia Duck Tolling Retriever,5,5,4,5,5,5,5,5,3,3,4,2
152,Old English Sheepdog,4,4,3,5,5,1,4,4,4,4,1,2
153,Otterhound,5,5,4,1,5,2,5,4,2,4,2,5
154,Papillon,4,4,3,5,5,3,4,4,3,1,2,1
155,Peekapoo,4,3,3,5,5,2,3,4,4,1,4,2
156,Pekingese,3,2,4,5,5,1,2,4,2,1,4,3
157,Pembroke Welsh Corgi,4,4,3,4,5,4,4,5,4,2,2,3
158,Petit Basset Griffon Vendeen,5,5,4,4,5,2,5,4,3,2,5,3
159,Pharaoh Hound,5,3,4,4,5,4,2,4,5,3,4,2
160,Plott,4,4,4,1,4,5,4,3,4,3,1,2
161,Pocket Beagle,5,4,4,4,5,5,4,4,4,2,5,2
162,Pointer,5,5,5,1,5,5,5,5,3,3,3,1
163,Polish Lowland Sheepdog,4,4,3,4,5,1,4,4,4,3,2,3
164,Pomeranian,3,3,3,4,5,2,3,4,4,1,5,1
165,Pomsky,3,3,4,5,5,2,4,4,4,2,5,1
166,Poodle,5,4,4,5,5,1,4,5,4,4,2,1
167,Portuguese Water Dog,5,5,4,4,5,2,5,5,4,3,3,2
168,Pug,4,4,2,5,5,5,3,2,3,2,2,1
169,Puggle,5,3,3,4,3,5,3,3,3,2,4,3
170,Puli,4,5,4,4,5,1,5,4,4,3,4,2
171,Pyrenean Shepherd,4,5,3,5,5,3,4,4,4,2,5,1
172,Rat Terrier,4,5,3,5,4,5,5,4,4,1,1,3
173,Redbone Coonhound,4,5,4,4,5,5,4,4,5,3,4,2
174,Rhodesian Ridgeback,4,5,3,1,5,5,4,4,4,4,1,2
175,Rottweiler,4,4,4,2,5,5,4,5,4,3,4,1
176,Saint Bernard,5,3,2,3,5,2,3,4,4,5,1,1
177,Saluki,4,4,4,1,5,4,5,4,5,4,1,1
178,Samoyed,5,4,4,2,5,1,5,3,4,3,3,2
179,Schipperke,3,5,3,4,4,5,5,4,4,1,4,3
180,Schnoodle,4,4,3,3,4,4,4,5,4,4,2,2
181,Scottish Deerhound,4,5,3,1,5,2,5,3,3,5,1,2
182,Scottish Terrier,4,4,3,4,5,2,4,4,4,2,4,3
183,Sealyham Terrier,4,4,3,4,4,1,4,4,4,2,2,2
184,Shetland Sheepdog,5,4,3,2,5,2,4,5,5,1,1,2
185,Shiba Inu,3,3,4,5,4,4,4,4,3,2,4,5
186,Shih Tzu,5,3,3,5,5,1,2,4,3,1,2,3
187,Siberian Husky,5,5,4,2,5,2,5,3,4,3,5,1
188,Silken Windhound,4,4,4,4,5,4,4,4,4,3,1,2
189,Silky Terrier,3,4,4,5,4,4,4,4,3,1,4,3
190,Skye Terrier,4,4,4,4,4,3,3,4,3,2,4,2
191,Sloughi,4,4,3,4,5,5,5,4,4,4,2,3
192,Small Munsterlander Pointer,5,5,4,1,5,3,4,5,3,3,3,4
193,Soft Coated Wheaten Terrier,5,4,3,5,5,3,4,4,4,3,3,2
194,Stabyhoun,4,4,4,2,5,3,3,5,4,3,3,3
195,Staffordshire Bull Terrier,4,4,3,3,5,5,3,3,4,2,3,2
196,Standard Schnauzer,3,5,4,4,4,2,5,5,4,3,2,2
197,Sussex Spaniel,5,2,3,5,5,4,2,5,5,2,4,1
198,Swedish Vallhund,4,5,3,3,5,5,5,5,3,3,1,3
199,Tibetan Mastiff,4,3,3,1,5,4,4,5,5,5,2,1
200,Tibetan Spaniel,4,4,4,5,5,4,3,4,5,1,4,1
201,Tibetan Terrier,4,5,3,5,5,1,5,4,4,2,2,1
202,Toy Fox Terrier,4,5,4,5,5,5,5,4,4,1,4,1
203,Treeing Tennessee Brindle,4,4,3,1,4,5,4,4,3,3,1,2
204,Treeing Walker Coonhound,4,4,4,1,4,5,4,4,5,4,5,2
205,Vizsla,5,5,4,1,5,5,5,4,5,3,5,1
206,Weimaraner,4,5,4,1,5,5,5,5,5,4,2,1
207,Welsh Springer Spaniel,4,5,4,4,5,4,5,5,5,3,5,1
208,Welsh Terrier,5,5,4,3,4,2,5,5,3,2,4,2
209,West Highland White Terrier,4,4,4,4,5,3,4,4,4,2,4,2
210,Whippet,5,4,4,5,5,5,5,4,5,3,1,2
