<QueryDict: {'csrfmiddlewaretoken': ['2UpI63lcmJHnqQir24EfgHORE9OiaaJLUrkMdh4dn0DLOETVmwJn7FxmOz130HYH'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
<QueryDict: {'csrfmiddlewaretoken': ['qQhAlBJGQ2qvUNlBH1Xf4NUVVNfLUxYAincEsPsHRjmTiBW51t2nVLDq5dswK4dw'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
<QueryDict: {'csrfmiddlewaretoken': ['qQhAlBJGQ2qvUNlBH1Xf4NUVVNfLUxYAincEsPsHRjmTiBW51t2nVLDq5dswK4dw'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
<QueryDict: {'csrfmiddlewaretoken': ['UU6zmi7M2SC2BE2JYf0ZvgO4lssyXrwidBEe6ndLZx4aTC7OEBIkhvOo2x3H3GvP'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
<QueryDict: {'csrfmiddlewaretoken': ['UU6zmi7M2SC2BE2JYf0ZvgO4lssyXrwidBEe6ndLZx4aTC7OEBIkhvOo2x3H3GvP'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
<QueryDict: {'csrfmiddlewaretoken': ['UU6zmi7M2SC2BE2JYf0ZvgO4lssyXrwidBEe6ndLZx4aTC7OEBIkhvOo2x3H3GvP'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
<QueryDict: {'csrfmiddlewaretoken': ['lfoUETdy3PTuFJbof3W6BO2J2Lmsn1i5EWWzoYjx0ulCXHgtVpErn323JQXBtghC'], 'adaptabilitySelect': ['1'], 'energySelect': ['1'], 'friendlinessSelect': ['1'], 'health_groomingSelect': ['1'], 'trainabilitySelect': ['1'], 'sizeSelect': ['1']}>
<QueryDict: {'csrfmiddlewaretoken': ['R83wOL09oXci1RFovSZfbY62zS4rFSgtaPBbyQ68lCEqjPKtbeHAXd6mgXFAL7f0'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>

<QueryDict: {'csrfmiddlewaretoken': ['WWb3bmACNAGePdkiQ2XZlKZAoGvmSdbhf4ge0x1lTXs7KKdag6DqJEXsdCJJ7DGT'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
<QueryDict: {'csrfmiddlewaretoken': ['rervZCWUx8yGANTRaERZixgPfyuu5vOQKmwGONnDDvkzvkMJAIxqGreH4uIRkVjs'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
<QueryDict: {'csrfmiddlewaretoken': ['S48zTGqHyrlwfNCMCAwvdOpizp0RrLzZbcdKIRRqEO7pakvE2EcWBInaoleeGb4B'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
<QueryDict: {'csrfmiddlewaretoken': ['qeA0cPJt84dcIHkRGIK7k7tiAvBzewxqJmFb10acerZ5DedJ6MqyI1raprPWtW22'], 'adaptabilitySelect': ['3'], 'energySelect': ['4'], 'friendlinessSelect': ['5'], 'health_groomingSelect': ['4'], 'trainabilitySelect': ['4'], 'sizeSelect': ['3']}>
